1;3;9;4
2;2;1;4
3;4;3;4
4;3;0;4
5;6;0;4
6;7;8;4
7;6;9;4
8;9;5;2
9;7;4;4
10;1;9;4
11;3;8;2
12;6;5;2
13;5;9;4
14;0;7;4
15;4;0;4
16;0;8;4
17;5;8;4
18;9;4;4
19;0;2;4
20;1;1;4
21;5;2;4
22;1;2;4
23;5;4;4
24;8;7;4
25;4;1;4
26;7;0;4
27;2;3;4
28;0;9;4
29;2;2;2
30;7;7;4
31;7;3;4
32;7;1;4
33;1;5;4
34;2;7;4
35;8;1;4
36;1;3;4
37;6;3;4
38;6;2;2
39;6;6;4
40;2;6;4
41;3;5;2
42;9;0;2
43;9;7;4
44;0;4;4
45;2;8;4
46;3;3;4
47;7;6;4
48;0;0;4
49;5;3;4
50;8;2;4
51;8;4;4
52;1;8;4
53;4;2;2
54;5;7;4
55;7;2;3
56;2;4;4
57;3;2;3
58;8;9;4
59;0;6;4
60;9;2;4
61;0;1;4
62;9;3;4
63;8;0;4
64;8;5;2
65;3;6;2
66;9;6;4
67;6;4;4
68;4;4;4
69;1;0;4
70;4;6;4
71;8;6;4
72;2;0;4
73;4;8;4
74;6;1;4
75;9;9;4
76;2;5;4
77;9;8;4
78;5;5;4
79;4;7;4
80;9;1;3
81;2;9;4
82;8;8;4
83;6;7;4
84;0;3;4
85;1;6;4
86;1;4;4
87;8;3;4
88;4;9;4
89;3;4;2
90;3;7;3
91;0;5;4
92;4;5;4
93;3;1;4
94;6;8;4
95;7;5;3
